画风版本比例基准表（校验「误差≤5%」的参照标准）,,,,,,,,,,,,,,,,,,,,,,,,,
生成前先确认角色所属画风版本，把头身比写进主描述（如「6头身少女」）；翻车时按行修复。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
画风版本,头身比,眼间距,手部参考,肩宽参考,常见失败,修复动作,,,,,,,,,,,,,,,,,,,
Q版,2-3头身,≥1.2眼宽,手≈头1/3,头≈2身宽,"大头小身失调, 五官过密",加「Q版 3头身」正词 + 降写实权重,,,,,,,,,,,,,,,,,,,
萝莉,4-5头身,1.0-1.2眼宽,手≈脸1/2,肩≈1.2头宽,头身比混用（头小身大）,主描述固定「5头身」,,,,,,,,,,,,,,,,,,,
少女（示例：南望）,6-6.5头身,≈1眼宽,手掌≈脸大,肩≈1.5头宽,"手过大, 指多, 腿过短",手部专项负面词 + 局部重绘,,,,,,,,,,,,,,,,,,,
青年,6.5-7头身,≈1眼宽,手≈脸大,肩≈1.8头宽,"手过大, 指多",同上 + 加「7头身」,,,,,,,,,,,,,,,,,,,
成年,7-8头身,0.9-1眼宽,手≈脸大,肩≈2头宽,"腿部过长, 躯干过短",腿长负面词 + 躯干正词,,,,,,,,,,,,,,,,,,,
写实,7.5+头身,≈0.9眼宽,手≈脸大,肩≈2头宽,"五官歪斜, 恐怖谷",换写实模型 + 参考图 + 低 stylize,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
补充规则：同一角色多版本（少女/成年）间头身比不可混用；跨版本时需在【角色锚点】新建形象版本行并标注差异。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
